売上id,会員id,日付
3601,150201,2023-10-05
3602,150202,2023-10-05
3603,150203,2023-10-05
3604,150204,2023-10-05
3605,150205,2023-10-05
3606,150206,2023-10-05
3607,150207,2023-10-05
3608,150208,2023-10-06
3609,150209,2023-10-06
3610,150210,2023-10-06
3611,150211,2023-10-06
3612,150212,2023-10-06
3613,150213,2023-10-06
3614,150214,2023-10-06
3615,150215,2023-10-06
3616,150216,2023-10-06
3617,150217,2023-10-07
3618,150218,2023-10-07
3619,150219,2023-10-07
3620,150220,2023-10-07
3621,150221,2023-10-07
3622,150222,2023-10-07
3623,150223,2023-10-07
3624,150224,2023-10-07
3625,150225,2023-10-08
3626,150226,2023-10-08
3627,150227,2023-10-08
3628,150228,2023-10-08
3629,150229,2023-10-08
3630,150230,2023-10-08
